workout_id,date,exercise,category,duration_in_min
1,8/15/14,jog,cardio,5
1,8/15/14,push ups,strength,1
1,8/15/14,planks,strength,3
1,8/15/14,tricep kickbacks,strength,0.5
1,8/15/14,jumping jacks,cardio,1
1,8/15/14,squats,strength,1
1,8/15/14,lunges,strength,1
1,8/15/14,jog,cardio,5
2,8/16/14,running,cardio,40
3,8/17/14,jog,cardio,15
3,8/17/14,200-meter sprint,cardio,0.5
3,8/17/14,jog,cardio,1
3,8/17/14,400-meter sprint,cardio,1.5
3,8/17/14,jog,cardio,1.5
3,8/17/14,600-meter sprint,cardio,2.5
3,8/17/14,jog,cardio,2.5
3,8/17/14,400-meter sprint,cardio,1.5
3,8/17/14,jog,cardio,1.5
3,8/17/14,200-meter sprint,cardio,0.5
3,8/17/14,jog,cardio,15
4,8/20/14,swimming,cardio,35
5,8/22/14,jog,cardio,10
5,8/22/14,squats,strength,1
5,8/22/14,lunges,strength,1
5,8/22/14,chest press,strength,0.5
5,8/22/14,burpees,cardio,0.5
5,8/22/14,pull ups,strength,0.5
5,8/22/14,sit ups,strength,1
5,8/22/14,bicycle crunches,strength,1
5,8/22/14,mountain climbers,cardio,1
5,8/22/14,squats,strength,1
5,8/22/14,lunges,strength,1
5,8/22/14,chest press,strength,0.5
5,8/22/14,sprints,cardio,2
5,8/22/14,pull ups,strength,0.5
5,8/22/14,sit ups,strength,1
5,8/22/14,bicycle crunches,strength,1
5,8/22/14,mountain climbers,cardio,1
5,8/22/14,jog,cardio,10
6,8/23/14,yoga,other,90
